time,water_soil,conduct_soil
14/03/23 12:08,0.00,0
14/03/23 11:48,0.00,0
08/02/23 14:04,14.29,153
08/02/23 13:44,14.46,154
08/02/23 11:26,0.00,0
25/01/23 15:26,0.00,0
25/01/23 15:06,0.00,0
25/01/23 14:46,0.00,0
27/12/22 14:07,0.00,0
27/12/22 13:47,0.00,0
27/12/22 13:27,0.00,0
01/12/22 15:27,0.00,0
01/12/22 15:07,0.00,0
01/12/22 14:47,0.00,0
01/12/22 14:27,0.00,0
01/12/22 14:07,0.00,0
01/12/22 13:47,0.00,0
01/12/22 13:27,0.00,0
01/12/22 13:07,0.00,0
01/12/22 12:47,0.00,0
01/12/22 12:27,0.00,0
01/12/22 12:07,0.00,0
01/12/22 11:47,0.00,0
01/12/22 11:27,0.00,0
01/12/22 11:07,0.00,0
01/12/22 10:47,0.00,0
01/12/22 10:27,0.00,0
28/11/22 15:47,0.00,0
23/09/22 14:27,25.94,233
23/09/22 12:47,26.06,234
23/09/22 12:27,26.09,235
23/09/22 12:07,26.06,234
23/09/22 11:47,26.12,235
23/09/22 11:27,26.12,234
23/09/22 11:07,26.13,235
23/09/22 10:47,26.12,234
23/09/22 10:27,26.12,235
23/09/22 10:07,26.13,235
23/09/22 09:47,0.00,0
24/08/22 15:18,50.69,719
24/08/22 14:58,50.78,720
24/08/22 14:38,50.93,720
24/08/22 14:18,0.00,0
24/08/22 13:58,0.00,0
24/08/22 13:38,0.00,0
24/08/22 13:18,0.00,0
24/08/22 12:58,0.00,0
24/08/22 11:58,0.00,0
24/08/22 11:38,6.18,18
21/08/22 16:53,0.00,0
21/08/22 16:52,0.00,0
21/08/22 16:51,0.00,0
21/08/22 16:50,0.00,0
21/08/22 16:31,0.00,0
21/08/22 16:30,0.00,0
21/08/22 16:29,0.00,0
21/08/22 16:28,0.00,0
21/08/22 16:27,0.00,0
21/08/22 16:26,0.00,0
21/08/22 16:25,0.00,0
21/08/22 16:24,18.39,202
21/08/22 16:23,18.39,201
21/08/22 16:22,18.39,201
21/08/22 16:21,18.39,201
21/08/22 16:20,18.38,201
21/08/22 16:19,18.38,201
21/08/22 16:18,18.38,201
21/08/22 16:17,18.37,201
21/08/22 16:16,18.36,201
21/08/22 16:15,18.33,200
21/08/22 16:14,18.29,200
21/08/22 16:13,18.25,199
21/08/22 16:12,18.23,199
21/08/22 16:11,18.18,197
21/08/22 16:10,16.36,160
21/08/22 16:09,16.20,159
21/08/22 16:08,2.39,1
21/08/22 16:07,1.51,1
21/08/22 16:06,1.13,2
21/08/22 16:05,2.15,2
21/08/22 16:04,0.00,0
21/08/22 16:03,9.84,38
21/08/22 16:02,10.00,38
21/08/22 16:01,9.85,38
21/08/22 16:00,9.96,38
21/08/22 15:59,9.62,38
21/08/22 15:58,9.69,38
21/08/22 15:57,9.80,38
21/08/22 15:56,9.81,38
21/08/22 15:55,10.00,38
21/08/22 15:54,9.99,37
21/08/22 15:52,10.20,36
21/08/22 15:51,10.21,36
21/08/22 15:50,10.26,37
21/08/22 15:49,10.26,37
21/08/22 15:48,10.26,37
21/08/22 15:47,10.26,37
21/08/22 15:46,10.18,37
21/08/22 15:45,10.18,37
21/08/22 15:44,10.17,37
21/08/22 15:43,10.17,37
21/08/22 15:42,10.06,37
21/08/22 15:41,10.07,37
21/08/22 15:32,10.04,36
19/08/22 17:35,0.00,2
19/08/22 17:15,48.46,502
19/08/22 16:35,0.00,0
12/08/22 14:26,14.11,85
12/08/22 14:06,14.14,85
12/08/22 12:14,0.00,0
12/08/22 09:54,0.00,0
08/08/22 15:14,0.00,0
08/08/22 14:34,32.58,700
08/08/22 14:14,32.20,688
08/08/22 13:35,0.00,0
08/08/22 13:09,0.00,0
08/08/22 12:49,0.00,0
08/08/22 12:29,0.00,0
08/08/22 11:49,0.00,0
02/08/22 15:29,0.00,0
01/08/22 12:09,0.00,0
01/08/22 11:49,0.00,0
01/08/22 11:32,0.00,0
01/08/22 11:31,0.00,0
06/05/22 13:38,,
06/05/22 13:18,,
